league,method,time_index,regulation_fraction,bin_id,n_games,mean_forecast,observed_rate,gap,bin_lower,bin_upper
nba,linear,4,0.2,8,826,0.7648020232580863,0.7493946731234867,-0.015407350134600041,0.7293333333333333,0.802
nba,linear,5,0.25,8,816,0.7766214798561788,0.7475490196078431,-0.02907246024833628,0.741,0.811
nba,linear,6,0.30000000000000004,8,826,0.7844212947218266,0.7566585956416465,-0.02776269908017969,0.7469999999999989,0.8209285714285717
nba,linear,7,0.35000000000000003,8,826,0.7935748779369018,0.7602905569007264,-0.033284321036175214,0.7544444444444446,0.8310588235294115
nba,linear,8,0.4,9,825,0.8812921626540052,0.8496969696969697,-0.03159519295703522,0.8403703703703703,0.9177777777777778
nba,linear,9,0.45,8,828,0.8148327692809288,0.7874396135265701,-0.027393155754358016,0.773,0.8557272727272727
nba,linear,10,0.5,9,821,0.9074689403166857,0.876979293544458,-0.03048964677222897,0.869,0.941
nba,linear,11,0.55,9,827,0.9221775065650879,0.8887545344619106,-0.033422972103177344,0.888,0.9557499999999999
nba,linear,12,0.6000000000000001,9,827,0.9382596824434274,0.9141475211608222,-0.02411216128260708,0.9048260869565217,0.9683846153846154
nba,linear,13,0.65,9,826,0.9530225956731321,0.9297820823244553,-0.02324051334867672,0.9226470588235295,0.9785
nba,linear,14,0.7000000000000001,9,825,0.966230948672044,0.9418181818181818,-0.024412766853862528,0.9403529411764707,0.9855999999999999
nba,linear,15,0.75,10,871,0.9973797380308004,0.9977037887485649,3.240507177755267e-4,0.992,1
nba,linear,16,0.8,10,827,0.998639579509563,1,0.0013604204904488408,0.9966842105263157,0.999
nba,linear,17,0.8500000000000001,8,822,0.9598846214074876,0.9562043795620438,-0.0036802418454440254,0.9268333333333332,0.9829565217391304
nba,linear,18,0.9,8,827,0.978142517323481,0.9818621523579202,0.0037196350344398926,0.954,0.992764705882353
nba,linear,19,0.95,7,2480,0.9972471507420176,0.9987903225806452,0.0015431718386145603,0.9822857142857142,0.999
nba,locf,0,0,6,824,0.6112123786407768,0.6080097087378641,-0.003202669902912614,0.586,0.637
nba,locf,1,0.05,7,825,0.6719866666666668,0.6375757575757576,-0.03441090909090913,0.645,0.699
nba,locf,2,0.1,7,825,0.6808581818181819,0.6618181818181819,-0.019039999999999994,0.65,0.71
nba,locf,3,0.15000000000000002,7,824,0.6891007281553395,0.6929611650485437,0.0038604368932038786,0.656,0.722
nba,locf,4,0.2,8,827,0.7640108827085837,0.747279322853688,-0.01673155985489723,0.729,0.8
nba,locf,5,0.25,8,815,0.776581595092024,0.747239263803681,-0.029342331288343588,0.741,0.811
nba,locf,6,0.30000000000000004,8,823,0.7835394896719304,0.7606318347509113,-0.02290765492102068,0.746,0.819
nba,locf,7,0.35000000000000003,8,828,0.7938683574879223,0.7608695652173914,-0.03299879227053141,0.755,0.831
nba,locf,8,0.4,9,826,0.8807263922518151,0.847457627118644,-0.033268765133171924,0.841,0.917
nba,locf,9,0.45,8,820,0.8139121951219523,0.7792682926829269,-0.03464390243902441,0.773,0.853
nba,locf,10,0.5,9,821,0.9074689403166857,0.876979293544458,-0.03048964677222897,0.869,0.941
