league,method,time_index,regulation_fraction,bin_id,n_games,mean_forecast,observed_rate,gap,bin_lower,bin_upper
nfl,linear,1,0.05,6,185,0.5798607324807289,0.6108108108108108,0.030950078330082075,0.5560649999999999,0.6094682926829269
nfl,linear,2,0.1,6,185,0.5857705493266229,0.6270270270270271,0.04125647770040456,0.5559780487804878,0.6137581395348837
nfl,linear,3,0.15000000000000002,6,185,0.5900589096526822,0.5783783783783784,-0.011680531274303671,0.5626999999999999,0.6194999999999999
nfl,linear,4,0.2,7,185,0.6513542694492809,0.6594594594594595,0.008105190010178885,0.6236585365853659,0.6816666666666668
nfl,linear,5,0.25,7,185,0.6664530826478658,0.6054054054054054,-0.06104767724245986,0.6329,0.6993
nfl,linear,6,0.30000000000000004,9,185,0.8249296421936142,0.8648648648648649,0.039935222671250555,0.7834461538461538,0.8639958333333343
nfl,linear,7,0.35000000000000003,9,185,0.8349029011817437,0.8648648648648649,0.029961963683121106,0.7919999999999998,0.8801815789473684
nfl,linear,8,0.4,9,185,0.8422571540158028,0.8756756756756757,0.03341852165987262,0.8046343749999998,0.8864102564102564
nfl,linear,9,0.45,9,185,0.8636572899178887,0.9027027027027027,0.03904541278481416,0.82425,0.9038367346938776
nfl,linear,10,0.5,7,185,0.7224524324324325,0.7297297297297297,0.007277297297297294,0.671,0.7773
nfl,linear,11,0.55,8,185,0.8334315184728027,0.8648648648648649,0.03143334639206243,0.7859841269841271,0.8725952380952382
nfl,linear,12,0.6000000000000001,8,185,0.8502643476447408,0.9081081081081082,0.05784376046336671,0.7996000000000002,0.8904736842105263
nfl,linear,13,0.65,8,185,0.8618236305266292,0.9027027027027027,0.04087907217607323,0.8148194444444444,0.9054642857142857
nfl,linear,15,0.75,7,185,0.7812432432432429,0.772972972972973,-0.00827027027027027,0.7174,0.846
nfl,linear,16,0.8,5,184,0.4978691386017818,0.47282608695652173,-0.025043051645260182,0.3998813953488373,0.5820909090909092
nfl,linear,17,0.8500000000000001,4,185,0.29004275577587235,0.2972972972972973,0.00725454152142491,0.20399999999999993,0.39121500000000026
nfl,linear,18,0.9,4,185,0.27093221124936234,0.2594594594594595,-0.011472751789902971,0.1745777777777778,0.38104347826087
nfl,linear,19,0.95,3,185,0.2413095160924381,0.20540540540540542,-0.03590411068703253,0.14999230769230862,0.34552727272727235
nfl,locf,0,0,7,185,0.6333210810810809,0.6,-0.03332108108108105,0.609,0.6553
nfl,locf,1,0.05,6,185,0.5794324324324326,0.6,0.02056756756756759,0.5553,0.605
nfl,locf,3,0.15000000000000002,6,185,0.5900945945945947,0.5675675675675675,-0.02252702702702702,0.56,0.6174
nfl,locf,4,0.2,7,185,0.6540416216216216,0.6432432432432432,-0.010798378378378392,0.6254,0.6828
nfl,locf,5,0.25,7,185,0.6664951351351356,0.6054054054054054,-0.06108972972972973,0.6329,0.6993
nfl,locf,6,0.30000000000000004,9,185,0.8244032432432431,0.8702702702702703,0.04586702702702704,0.7822,0.8634
