K,n_loss,curve,t,upper_gap
1000,5008,"K = 1,000",0.77,-0.010151757188498367
1000,5008,"K = 1,000",0.78,-0.008538338658146905
1000,5008,"K = 1,000",0.79,-0.00872204472843452
1000,5008,"K = 1,000",0.8,-0.006110223642172508
1000,5008,"K = 1,000",0.81,-0.008690095846645263
1000,5008,"K = 1,000",0.8200000000000001,-0.010471246006389712
1000,5008,"K = 1,000",0.8300000000000001,-0.01005591054313093
1000,5008,"K = 1,000",0.84,-0.00744408945686903
1000,5008,"K = 1,000",0.85,-0.007827476038338665
1000,5008,"K = 1,000",0.86,-0.008210862619808301
1000,5008,"K = 1,000",0.87,-0.008993610223642201
1000,5008,"K = 1,000",0.88,-0.008178913738019156
1000,5008,"K = 1,000",0.89,-0.00616613418530354
1000,5008,"K = 1,000",0.9,-0.006749201277955197
1000,5008,"K = 1,000",0.91,-0.0057348242811501304
1000,5008,"K = 1,000",0.92,-0.007316293929712447
1000,5008,"K = 1,000",0.93,-0.006900958466453666
1000,5008,"K = 1,000",0.9400000000000001,-0.00708466453674117
1000,5008,"K = 1,000",0.9500000000000001,-0.007468051118210806
1000,5008,"K = 1,000",0.96,-0.006253993610223718
1000,5008,"K = 1,000",0.97,-0.0044408945686901236
1000,5008,"K = 1,000",0.98,-0.004624600638977627
1000,5008,"K = 1,000",0.99,-0.0020127795527156156
1000,5008,"K = 1,000",1,0
10000,4966,"K = 10,000",0,-0.009061619009262988
10000,4966,"K = 10,000",0.01,-0.010942408376963352
10000,4966,"K = 10,000",0.02,-0.011413612565445024
10000,4966,"K = 10,000",0.03,-0.011482078131292789
10000,4966,"K = 10,000",0.04,-0.012557390253725334
10000,4966,"K = 10,000",0.05,-0.015445026178010468
10000,4966,"K = 10,000",0.06,-0.014103906564639557
10000,4966,"K = 10,000",0.07,-0.01215867901731775
10000,4966,"K = 10,000",0.08,-0.014039468385018128
10000,4966,"K = 10,000",0.09,-0.012698348771647203
10000,4966,"K = 10,000",0.1,-0.012364075714861048
10000,4966,"K = 10,000",0.11,-0.011425694724124039
10000,4966,"K = 10,000",0.12,-0.0114941602899718
10000,4966,"K = 10,000",0.13,-0.010555779299234791
10000,4966,"K = 10,000",0.14,-0.009818767619814733
