m,curve,t,upper_gap
1,"every update (K = 1,000)",0.93,-0.005599999999999938
1,"every update (K = 1,000)",0.9400000000000001,-0.005019999999999913
1,"every update (K = 1,000)",0.9500000000000001,-0.0042599999999999305
1,"every update (K = 1,000)",0.96,-0.0034200000000000896
1,"every update (K = 1,000)",0.97,-0.0026599999999999957
1,"every update (K = 1,000)",0.98,-0.0018200000000000438
1,"every update (K = 1,000)",0.99,-8.799999999999919e-4
1,"every update (K = 1,000)",1,0
2,"every 2 updates (K = 1,000)",0,-0.04094
2,"every 2 updates (K = 1,000)",0.01,-0.03856
2,"every 2 updates (K = 1,000)",0.02,-0.036860000000000004
2,"every 2 updates (K = 1,000)",0.03,-0.03604
2,"every 2 updates (K = 1,000)",0.04,-0.03528
2,"every 2 updates (K = 1,000)",0.05,-0.03562
2,"every 2 updates (K = 1,000)",0.06,-0.03568
2,"every 2 updates (K = 1,000)",0.07,-0.0363
2,"every 2 updates (K = 1,000)",0.08,-0.036320000000000005
2,"every 2 updates (K = 1,000)",0.09,-0.03645999999999999
2,"every 2 updates (K = 1,000)",0.1,-0.036019999999999996
2,"every 2 updates (K = 1,000)",0.11,-0.036320000000000005
2,"every 2 updates (K = 1,000)",0.12,-0.03586
2,"every 2 updates (K = 1,000)",0.13,-0.03536
2,"every 2 updates (K = 1,000)",0.14,-0.03481999999999999
2,"every 2 updates (K = 1,000)",0.15,-0.034900000000000014
2,"every 2 updates (K = 1,000)",0.16,-0.03570000000000001
2,"every 2 updates (K = 1,000)",0.17,-0.034759999999999985
2,"every 2 updates (K = 1,000)",0.18,-0.03542000000000001
2,"every 2 updates (K = 1,000)",0.19,-0.03495999999999999
2,"every 2 updates (K = 1,000)",0.2,-0.03453999999999999
2,"every 2 updates (K = 1,000)",0.21,-0.0348
2,"every 2 updates (K = 1,000)",0.22,-0.034680000000000016
2,"every 2 updates (K = 1,000)",0.23,-0.03479999999999997
2,"every 2 updates (K = 1,000)",0.24,-0.034440000000000026
2,"every 2 updates (K = 1,000)",0.25,-0.03370000000000001
2,"every 2 updates (K = 1,000)",0.26,-0.03443999999999997
2,"every 2 updates (K = 1,000)",0.27,-0.03367999999999999
2,"every 2 updates (K = 1,000)",0.28,-0.03308
2,"every 2 updates (K = 1,000)",0.29,-0.03308
2,"every 2 updates (K = 1,000)",0.3,-0.03250000000000003
2,"every 2 updates (K = 1,000)",0.31,-0.032440000000000024
2,"every 2 updates (K = 1,000)",0.32,-0.032179999999999986
2,"every 2 updates (K = 1,000)",0.33,-0.03158
2,"every 2 updates (K = 1,000)",0.34,-0.031079999999999997
2,"every 2 updates (K = 1,000)",0.35000000000000003,-0.03111999999999998
2,"every 2 updates (K = 1,000)",0.36,-0.03150000000000003
2,"every 2 updates (K = 1,000)",0.37,-0.03138000000000002
2,"every 2 updates (K = 1,000)",0.38,-0.03073999999999999
2,"every 2 updates (K = 1,000)",0.39,-0.03023999999999999
2,"every 2 updates (K = 1,000)",0.4,-0.030319999999999958
2,"every 2 updates (K = 1,000)",0.41000000000000003,-0.03133999999999998
2,"every 2 updates (K = 1,000)",0.42,-0.031840000000000035
2,"every 2 updates (K = 1,000)",0.43,-0.03138000000000002
2,"every 2 updates (K = 1,000)",0.44,-0.031179999999999986
2,"every 2 updates (K = 1,000)",0.45,-0.030959999999999988
2,"every 2 updates (K = 1,000)",0.46,-0.030759999999999954
2,"every 2 updates (K = 1,000)",0.47000000000000003,-0.029459999999999986
2,"every 2 updates (K = 1,000)",0.48,-0.02946000000000004
2,"every 2 updates (K = 1,000)",0.49,-0.028959999999999986
2,"every 2 updates (K = 1,000)",0.5,-0.028939999999999966
2,"every 2 updates (K = 1,000)",0.51,-0.02954000000000001
2,"every 2 updates (K = 1,000)",0.52,-0.029000000000000026
2,"every 2 updates (K = 1,000)",0.53,-0.029320000000000013
2,"every 2 updates (K = 1,000)",0.54,-0.02866000000000002
2,"every 2 updates (K = 1,000)",0.55,-0.028719999999999968
2,"every 2 updates (K = 1,000)",0.56,-0.0283199999999999
2,"every 2 updates (K = 1,000)",0.5700000000000001,-0.02733999999999992
2,"every 2 updates (K = 1,000)",0.58,-0.026940000000000075
2,"every 2 updates (K = 1,000)",0.59,-0.02650000000000008
2,"every 2 updates (K = 1,000)",0.6,-0.025800000000000045
2,"every 2 updates (K = 1,000)",0.61,-0.02615999999999996
2,"every 2 updates (K = 1,000)",0.62,-0.025540000000000007
2,"every 2 updates (K = 1,000)",0.63,-0.025560000000000027
2,"every 2 updates (K = 1,000)",0.64,-0.025479999999999947
2,"every 2 updates (K = 1,000)",0.65,-0.025379999999999958
2,"every 2 updates (K = 1,000)",0.66,-0.024980000000000002
2,"every 2 updates (K = 1,000)",0.67,-0.024699999999999944
2,"every 2 updates (K = 1,000)",0.68,-0.02399999999999991
2,"every 2 updates (K = 1,000)",0.6900000000000001,-0.02295999999999998
2,"every 2 updates (K = 1,000)",0.7000000000000001,-0.02279999999999993
2,"every 2 updates (K = 1,000)",0.71,-0.02190000000000003
2,"every 2 updates (K = 1,000)",0.72,-0.02084000000000008
2,"every 2 updates (K = 1,000)",0.73,-0.020020000000000038
2,"every 2 updates (K = 1,000)",0.74,-0.019519999999999982
2,"every 2 updates (K = 1,000)",0.75,-0.019419999999999993
2,"every 2 updates (K = 1,000)",0.76,-0.019079999999999986
2,"every 2 updates (K = 1,000)",0.77,-0.017739999999999978
2,"every 2 updates (K = 1,000)",0.78,-0.016699999999999937
2,"every 2 updates (K = 1,000)",0.79,-0.016159999999999952
2,"every 2 updates (K = 1,000)",0.8,-0.016019999999999923
2,"every 2 updates (K = 1,000)",0.81,-0.015499999999999958
2,"every 2 updates (K = 1,000)",0.8200000000000001,-0.01535999999999993
2,"every 2 updates (K = 1,000)",0.8300000000000001,-0.014339999999999908
2,"every 2 updates (K = 1,000)",0.84,-0.013600000000000056
2,"every 2 updates (K = 1,000)",0.85,-0.013759999999999994
2,"every 2 updates (K = 1,000)",0.86,-0.012759999999999994
2,"every 2 updates (K = 1,000)",0.87,-0.012240000000000029
2,"every 2 updates (K = 1,000)",0.88,-0.011660000000000004
2,"every 2 updates (K = 1,000)",0.89,-0.010560000000000014
2,"every 2 updates (K = 1,000)",0.9,-0.009440000000000004
2,"every 2 updates (K = 1,000)",0.91,-0.008660000000000001
2,"every 2 updates (K = 1,000)",0.92,-0.008239999999999914
2,"every 2 updates (K = 1,000)",0.93,-0.007979999999999987
2,"every 2 updates (K = 1,000)",0.9400000000000001,-0.007159999999999944
2,"every 2 updates (K = 1,000)",0.9500000000000001,-0.005799999999999916
2,"every 2 updates (K = 1,000)",0.96,-0.0048600000000000865
2,"every 2 updates (K = 1,000)",0.97,-0.0036200000000000676
2,"every 2 updates (K = 1,000)",0.98,-0.0029200000000000337
2,"every 2 updates (K = 1,000)",0.99,-0.0013199999999999878
2,"every 2 updates (K = 1,000)",1,0
5,"every 5 updates (K = 1,000)",0,-0.0644
5,"every 5 updates (K = 1,000)",0.01,-0.06274
5,"every 5 updates (K = 1,000)",0.02,-0.060079999999999995
5,"every 5 updates (K = 1,000)",0.03,-0.058620000000000005
5,"every 5 updates (K = 1,000)",0.04,-0.05754
5,"every 5 updates (K = 1,000)",0.05,-0.0572
5,"every 5 updates (K = 1,000)",0.06,-0.056760000000000005
5,"every 5 updates (K = 1,000)",0.07,-0.05645999999999998
5,"every 5 updates (K = 1,000)",0.08,-0.05624
5,"every 5 updates (K = 1,000)",0.09,-0.05632000000000001
5,"every 5 updates (K = 1,000)",0.1,-0.05581999999999998
5,"every 5 updates (K = 1,000)",0.11,-0.05434000000000001
5,"every 5 updates (K = 1,000)",0.12,-0.054440000000000016
5,"every 5 updates (K = 1,000)",0.13,-0.05456
5,"every 5 updates (K = 1,000)",0.14,-0.05393999999999999
5,"every 5 updates (K = 1,000)",0.15,-0.054139999999999994
5,"every 5 updates (K = 1,000)",0.16,-0.053659999999999985
5,"every 5 updates (K = 1,000)",0.17,-0.05287999999999998
5,"every 5 updates (K = 1,000)",0.18,-0.05266000000000001
5,"every 5 updates (K = 1,000)",0.19,-0.0529
5,"every 5 updates (K = 1,000)",0.2,-0.05227999999999999
5,"every 5 updates (K = 1,000)",0.21,-0.05213999999999999
5,"every 5 updates (K = 1,000)",0.22,-0.05261999999999997
5,"every 5 updates (K = 1,000)",0.23,-0.05283999999999997
5,"every 5 updates (K = 1,000)",0.24,-0.052100000000000035
5,"every 5 updates (K = 1,000)",0.25,-0.05202000000000001
