rep,n_paths,family,scenario,n_loss,upper_95,d_upper,d_lower
43,5000,Underreaction,beta = 0.8,2446,0.022894521668029435,0,0.09504569534970808
43,5000,Underreaction,beta = 0.9,2446,0.03679476696647588,0,0.06512823105776455
43,5000,Overreaction,beta = 1.1,2446,0.06214227309893704,0.022640052960015256,0.06868356500408819
43,5000,Overreaction,beta = 1.2,2446,0.08094848732624693,0.048603444466647994,0.0896467960526047
43,5000,Predictable drift,delta = 0.25,2446,0.051103843008994274,0.011168555388141432,0.05329286264885134
43,5000,Predictable drift,delta = 0.5,2446,0.05723630417007359,0.019872862779820144,0.05350160520647349
43,5000,Predictable drift,delta = 1.0,2446,0.07481602616516762,0.03569531321128849,0.05516849873484568
43,5000,Latency,eta = 0.5,2446,0.04333605887162715,0,0.05871201077460997
43,5000,Latency,eta = 1.0,2446,0.04333605887162715,0,0.05714711530783967
43,5000,Smoothing,lambda = 0.3,2446,0.04210956663941128,0,0.06763711458819335
43,5000,Smoothing,lambda = 0.5,2446,0.041700735895339326,0,0.08685587764582892
43,5000,Smoothing,lambda = 0.8,2446,0.035977105478331974,0,0.138581721603673
43,5000,Reporting artifact,round 0.01,2446,0.04456255110384301,0.002861815208503704,0.053147996729353934
43,5000,Reporting artifact,round 0.05,2446,0.044971381847914965,0.027800490596892935,0.06255110384300888
43,5000,Reporting artifact,coarsen m = 5,2446,0.04006541291905151,0,0.11360807846071094
43,5000,Reporting artifact,coarsen m = 10,2446,0.039247751430907606,0,0.16051729192702613
43,5000,Reporting artifact,coarsen m = 10 + round 0.05,2446,0.03965658217497956,0.023303352412101352,0.15903515944399008
44,5000,Null,Null,2511,0.04420549581839905,0.0025233929234339536,0.04062126642771793
44,5000,Underreaction,beta = 0.8,2511,0.026284348864994027,0,0.08861034974674276
44,5000,Underreaction,beta = 0.9,2511,0.03424930306650737,0,0.05934439755553422
44,5000,Overreaction,beta = 1.1,2511,0.05894066109119873,0.019210968570740228,0.056551174830744615
44,5000,Overreaction,beta = 1.2,2511,0.07088809239346874,0.04760332967938552,0.07745227363172665
44,5000,Predictable drift,delta = 0.25,2511,0.050577459179609714,0.005846998600105069,0.039824771007566595
44,5000,Predictable drift,delta = 0.5,2511,0.05694942254082039,0.014802549862411585,0.039824771007566595
44,5000,Predictable drift,delta = 1.0,2511,0.07048984468339307,0.03466515082052002,0.04062126642771793
44,5000,Latency,eta = 0.5,2511,0.04261250497809638,0.0014341822513779245,0.041417761847869265
44,5000,Latency,eta = 1.0,2511,0.04261250497809638,5.547497330058437e-4,0.04181600955794493
44,5000,Smoothing,lambda = 0.3,2511,0.04261250497809638,6.78386262328412e-4,0.047273473127982635
44,5000,Smoothing,lambda = 0.5,2511,0.03942652329749104,0,0.06578661916774331
44,5000,Smoothing,lambda = 0.8,2511,0.03345280764635603,0,0.11916017555362135
44,5000,Reporting artifact,round 0.01,2511,0.04420549581839905,0.004778972520907976,0.03933596315844235
44,5000,Reporting artifact,round 0.05,2511,0.04500199123855038,0.02230187176423737,0.0434526701469865
44,5000,Reporting artifact,coarsen m = 5,2511,0.038630027877339705,0,0.08360278080620763
44,5000,Reporting artifact,coarsen m = 10,2511,0.035842293906810034,0,0.1215347741085282
44,5000,Reporting artifact,coarsen m = 10 + round 0.05,2511,0.037435284747112704,0.01871764237355633,0.12838288347319998
45,5000,Null,Null,2498,0.04603682946357086,0.002505120946645789,0.041580160567570024
45,5000,Underreaction,beta = 0.8,2498,0.023618895116092876,0,0.08852139342487564
45,5000,Underreaction,beta = 0.9,2498,0.0344275420336269,6.436933004385637e-4,0.05890831718760825
45,5000,Overreaction,beta = 1.1,2498,0.05644515612489992,0.01927626220894907,0.05944524302040567
45,5000,Overreaction,beta = 1.2,2498,0.07085668534827862,0.0449156453124705,0.08286629303442743
45,5000,Predictable drift,delta = 0.25,2498,0.05044035228182546,0.0036721331623857933,0.0421251990700966
45,5000,Predictable drift,delta = 0.5,2498,0.05404323458767014,0.009896474309956216,0.04263736994946407
45,5000,Predictable drift,delta = 1.0,2498,0.0656525220176141,0.0296397092855335,0.04250634419114396
45,5000,Latency,eta = 0.5,2498,0.04483586869495596,0.001950737322871321,0.04969224643900633
45,5000,Latency,eta = 1.0,2498,0.044035228182546036,0.0018839781634756303,0.048182229965474
45,5000,Smoothing,lambda = 0.3,2498,0.043634907926341074,0.001760363799270026,0.061585808951893556
45,5000,Smoothing,lambda = 0.5,2498,0.041633306645316254,0.0014468935269205119,0.07812843538172642
45,5000,Smoothing,lambda = 0.8,2498,0.03482786228983187,7.74190066939795e-4,0.13210419490826641
45,5000,Reporting artifact,round 0.01,2498,0.04523618895116093,0.007205764611689314,0.04192183846565117
45,5000,Reporting artifact,round 0.05,2498,0.04323458767013611,0.024419535628502853,0.054043234587670026
45,5000,Reporting artifact,coarsen m = 5,2498,0.04043234587670136,0.0017213961602648986,0.09887910328262599
45,5000,Reporting artifact,coarsen m = 10,2498,0.03682946357085669,0.0015239464056117091,0.13650920736589262
45,5000,Reporting artifact,coarsen m = 10 + round 0.05,2498,0.03763010408326661,0.021216973578863096,0.1404545872642034
46,5000,Null,Null,2495,0.045691382765531065,7.439515643941075e-4,0.04418497990097676
46,5000,Underreaction,beta = 0.8,2495,0.022444889779559118,0,0.08696632557021022
46,5000,Underreaction,beta = 0.9,2495,0.03206412825651302,0,0.05275452837419892
46,5000,Overreaction,beta = 1.1,2495,0.05571142284569138,0.0211312400709609,0.05699343256064858
46,5000,Overreaction,beta = 1.2,2495,0.07134268537074148,0.04801440624942033,0.07374749498997984
46,5000,Predictable drift,delta = 0.25,2495,0.049298597194388775,0.0033261718159260933,0.043630433326591354
46,5000,Predictable drift,delta = 0.5,2495,0.056112224448897796,0.01083003764699797,0.042590056215473605
46,5000,Predictable drift,delta = 1.0,2495,0.0657314629258517,0.027885134744983664,0.04368737474949889
46,5000,Latency,eta = 0.5,2495,0.04408817635270541,0,0.04866053230725881
46,5000,Latency,eta = 1.0,2495,0.04288577154308617,0,0.047346524324936044
46,5000,Smoothing,lambda = 0.3,2495,0.04208416833667335,0,0.05281256317518852
46,5000,Smoothing,lambda = 0.5,2495,0.039679358717434866,0,0.06801236893608606
46,5000,Smoothing,lambda = 0.8,2495,0.03246492985971944,0,0.11912306347765927
46,5000,Reporting artifact,round 0.01,2495,0.04408817635270541,0.0032064128256512614,0.042651521319656195
46,5000,Reporting artifact,round 0.05,2495,0.03847695390781563,0.020440881763527097,0.054509018036072034
46,5000,Reporting artifact,coarsen m = 5,2495,0.04008016032064128,0,0.0984170922557111
46,5000,Reporting artifact,coarsen m = 10,2495,0.03687374749498998,0,0.1382765531062123
46,5000,Reporting artifact,coarsen m = 10 + round 0.05,2495,0.03246492985971944,0.01603206412825653,0.14082523553956164
47,5000,Null,Null,2528,0.043908227848101264,6.463098735248751e-4,0.04780538057785938
47,5000,Underreaction,beta = 0.8,2528,0.021360759493670885,0,0.09752668308316992
47,5000,Underreaction,beta = 0.9,2528,0.03164556962025317,0,0.0680524246770623
47,5000,Overreaction,beta = 1.1,2528,0.0557753164556962,0.01671165898498639,0.06526898734177204
47,5000,Overreaction,beta = 1.2,2528,0.07080696202531646,0.04300605713263339,0.08267405063291128
47,5000,Predictable drift,delta = 0.25,2528,0.04786392405063291,0.002238180397199252,0.04588186195256411
47,5000,Predictable drift,delta = 0.5,2528,0.05261075949367089,0.01186573394153978,0.04486331230059071
47,5000,Predictable drift,delta = 1.0,2528,0.06645569620253164,0.031730985411030144,0.043689465409290695
47,5000,Latency,eta = 0.5,2528,0.043512658227848104,2.564916923780691e-4,0.05535574241041752
47,5000,Latency,eta = 1.0,2528,0.04311708860759494,0,0.05560005855968425
47,5000,Smoothing,lambda = 0.3,2528,0.04311708860759494,0,0.06542386096720221
47,5000,Smoothing,lambda = 0.5,2528,0.03995253164556962,0,0.08025400493872653
47,5000,Smoothing,lambda = 0.8,2528,0.032041139240506326,0,0.13125873830000523
47,5000,Reporting artifact,round 0.01,2528,0.04311708860759494,0.003955696202531667,0.04738249519927862
47,5000,Reporting artifact,round 0.05,2528,0.04113924050632911,0.023338607594936667,0.05775316455696192
47,5000,Reporting artifact,coarsen m = 5,2528,0.038765822784810125,0,0.0981012658227847
47,5000,Reporting artifact,coarsen m = 10,2528,0.035205696202531646,0,0.1404272151898733
47,5000,Reporting artifact,coarsen m = 10 + round 0.05,2528,0.035205696202531646,0.020965189873417667,0.1503342537437872
48,5000,Null,Null,2458,0.043124491456468676,6.94567826075243e-4,0.04334579152421039
48,5000,Underreaction,beta = 0.8,2458,0.01871440195280716,0,0.0917051123140159
48,5000,Underreaction,beta = 0.9,2458,0.028478437754271765,0,0.06143654438744939
48,5000,Overreaction,beta = 1.1,2458,0.05451586655817738,0.012112733965865763,0.06224572823433675
48,5000,Overreaction,beta = 1.2,2458,0.06631407648494711,0.04011450886858159,0.08092803073555357
48,5000,Predictable drift,delta = 0.25,2458,0.046379170056956874,0.0016560006038662811,0.04337438662715057
48,5000,Predictable drift,delta = 0.5,2458,0.052481692432872255,0.008248918186168464,0.042589312897800276
48,5000,Predictable drift,delta = 1.0,2458,0.06346623270951994,0.026741258944173674,0.04304766732289988
48,5000,Latency,eta = 0.5,2458,0.0402766476810415,6.877306305357322e-4,0.048489025028599
48,5000,Latency,eta = 1.0,2458,0.03986981285598047,2.5293837360162996e-4,0.044964657631074045
48,5000,Smoothing,lambda = 0.3,2458,0.03946297803091944,4.286952965344426e-4,0.05677062157534224
48,5000,Smoothing,lambda = 0.5,2458,0.03742880390561432,5.784490027971323e-6,0.07295655637484222
48,5000,Smoothing,lambda = 0.8,2458,0.029698942229454843,0,0.12475805913142096
48,5000,Reporting artifact,round 0.01,2458,0.0419039869812856,0.004068348250610199,0.04357557208059222
48,5000,Reporting artifact,round 0.05,2458,0.04149715215622457,0.021562245728234286,0.05370219690805522
48,5000,Reporting artifact,coarsen m = 5,2458,0.03661513425549227,2.7424452866864346e-4,0.10211554109031722
48,5000,Reporting artifact,coarsen m = 10,2458,0.03376729048006509,0,0.13995117982099256
48,5000,Reporting artifact,coarsen m = 10 + round 0.05,2458,0.03254678600488202,0.01830756712774617,0.14157851912123667
49,5000,Null,Null,2483,0.049536850583971004,0.003023468552976194,0.054179128330941656
49,5000,Underreaction,beta = 0.8,2483,0.02698348771647201,0,0.09425318424767182
49,5000,Underreaction,beta = 0.9,2483,0.03584373741441804,0,0.05961168064217026
49,5000,Overreaction,beta = 1.1,2483,0.06322996375352397,0.01798966432584226,0.07402462292889628
49,5000,Overreaction,beta = 1.2,2483,0.078534031413612565,0.03840520225825128,0.09174660412618359
49,5000,Predictable drift,delta = 0.25,2483,0.05517519130084575,0.008708785112544803,0.055490378982565314
49,5000,Predictable drift,delta = 0.5,2483,0.0608135320177205,0.016308092299487376,0.05533423687225067
49,5000,Predictable drift,delta = 1.0,2483,0.07571486105517519,0.030903361744376467,0.05614965367124866
49,5000,Latency,eta = 0.5,2483,0.04752315747080145,0.002473466410857883,0.061821426409738506
49,5000,Latency,eta = 1.0,2483,0.04671768022553363,0.0021053287402451604,0.05676832242016899
49,5000,Smoothing,lambda = 0.3,2483,0.04671768022553363,0.0023267871609883306,0.07321985610334775
49,5000,Smoothing,lambda = 0.5,2483,0.045509464357631896,0.0015726127876440898,0.09045844402762762
49,5000,Smoothing,lambda = 0.8,2483,0.03745469190495369,0,0.13397063903743772
49,5000,Reporting artifact,round 0.01,2483,0.05155054369714056,0.006041079339508704,0.05345737813467976
49,5000,Reporting artifact,round 0.05,2483,0.04832863471606927,0.026983487716471966,0.0625084514585093
49,5000,Reporting artifact,coarsen m = 5,2483,0.045106725734997986,0.0017349824983786677,0.11259143215372192
49,5000,Reporting artifact,coarsen m = 10,2483,0.04067660088602497,3.465222014654712e-4,0.15181504067260299
49,5000,Reporting artifact,coarsen m = 10 + round 0.05,2483,0.04148207813129279,0.022150624244865136,0.15939832490470862
50,5000,Null,Null,2492,0.04373996789727127,0,0.05216693418940599
50,5000,Underreaction,beta = 0.8,2492,0.016452648475120384,0,0.08046229552143958
50,5000,Underreaction,beta = 0.9,2492,0.028892455858747994,0,0.05550550938375265
50,5000,Overreaction,beta = 1.1,2492,0.056179775280898875,0.02424399614929662,0.06340288924558576
50,5000,Overreaction,beta = 1.2,2492,0.06741573033707865,0.054090124939466744,0.08105939004815398
50,5000,Predictable drift,delta = 0.25,2492,0.0485553772070626,0.005207474624839281,0.05216693418940599
50,5000,Predictable drift,delta = 0.5,2492,0.052568218298555375,0.014870076919232034,0.051615960479467836
50,5000,Predictable drift,delta = 1.0,2492,0.06500802568218299,0.03489778786157549,0.05136436597110743
50,5000,Latency,eta = 0.5,2492,0.04173354735152488,0,0.05337078651685382
50,5000,Latency,eta = 1.0,2492,0.04173354735152488,0,0.05306362964253556
50,5000,Smoothing,lambda = 0.3,2492,0.039727126805778494,0,0.05730860645652287
50,5000,Smoothing,lambda = 0.5,2492,0.038523274478330656,0,0.07117685880449182
50,5000,Smoothing,lambda = 0.8,2492,0.030497592295345103,0,0.11878425405166376
50,5000,Reporting artifact,round 0.01,2492,0.04293739967897271,0.0032102728731941976,0.0519465376786683
50,5000,Reporting artifact,round 0.05,2492,0.040930979133226325,0.017255216693418896,0.05636066287931036
50,5000,Reporting artifact,coarsen m = 5,2492,0.03651685393258427,0,0.10191095269740884
50,5000,Reporting artifact,coarsen m = 10,2492,0.033707865168539325,0,0.14013164142326406
50,5000,Reporting artifact,coarsen m = 10 + round 0.05,2492,0.03089887640449438,0.013242375601926204,0.14343931456470363
51,5000,Null,Null,2490,0.043373493975903614,9.172723869619315e-4,0.045637407456439794
51,5000,Underreaction,beta = 0.8,2490,0.023293172690763052,4.4591771714208583e-4,0.08579411649070923
51,5000,Underreaction,beta = 0.9,2490,0.03253012048192771,6.799059298211452e-4,0.05783352628683913
51,5000,Overreaction,beta = 1.1,2490,0.056626506024096385,0.01786826981757783,0.05911504041716683
51,5000,Overreaction,beta = 1.2,2490,0.07108433734939759,0.04540813277162248,0.07722605617496121
51,5000,Predictable drift,delta = 0.25,2490,0.04899598393574297,0.00523538643493815,0.045381526104417556
51,5000,Predictable drift,delta = 0.5,2490,0.056626506024096385,0.01540067654864874,0.04538989202136427
