"game_id","season","starting_wp_favored","home_final","away_final","max_wp_loser","bin_idx","bin_center","bin_label"
401030875,2018,0.691,27,20,0.415,5,0.7,"p0=0.70"
401030876,2018,0.772,16,17,0.777,6,0.75,"p0=0.75"
401030877,2018,0.593,9,27,0.737,3,0.6,"p0=0.60"
401030878,2018,0.607,27,24,0.794,3,0.6,"p0=0.60"
401030891,2018,0.694,22,29,0.702,5,0.7,"p0=0.70"
401030892,2018,0.861,24,12,0.156,8,0.85,"p0=0.85"
401030893,2018,0.629,24,17,0.588,4,0.65,"p0=0.65"
401030894,2018,0.783,24,21,0.786,7,0.8,"p0=0.80"
401030895,2018,0.501,10,24,0.685,1,0.5,"p0=0.50"
401030896,2018,0.552,14,13,0.816,2,0.55,"p0=0.55"
401030897,2018,0.796,10,22,0.796,7,0.8,"p0=0.80"
401030898,2018,0.7,20,12,0.512,5,0.7,"p0=0.70"
401030899,2018,0.619,13,10,0.627,3,0.6,"p0=0.60"
401030900,2018,0.891,40,14,0.337,9,0.9,"p0=0.90"
401030901,2018,0.651,9,14,0.67,4,0.65,"p0=0.65"
401030902,2018,0.656,27,9,0.42,4,0.65,"p0=0.65"
401030903,2018,0.576,25,20,0.48,3,0.6,"p0=0.60"
401030904,2018,0.833,13,27,0.399,8,0.85,"p0=0.85"
401030905,2018,0.636,16,23,0.707,4,0.65,"p0=0.65"
401030906,2018,0.824,27,24,0.864,7,0.8,"p0=0.80"
401030907,2018,0.888,9,31,0.236,9,0.9,"p0=0.90"
401030908,2018,0.566,24,17,0.677,2,0.55,"p0=0.55"
401030909,2018,0.681,30,16,0.383,5,0.7,"p0=0.70"
401030910,2018,0.592,20,19,0.72,3,0.6,"p0=0.60"
401030911,2018,0.6,24,17,0.843,3,0.6,"p0=0.60"
401030912,2018,0.93,45,10,0.285,10,0.95,"p0=0.95"
401030913,2018,0.71,31,28,0.833,5,0.7,"p0=0.70"
401030914,2018,0.68,25,22,0.874,5,0.7,"p0=0.70"
401030915,2018,0.586,0,17,0.647,3,0.6,"p0=0.60"
401030916,2018,0.863,34,17,0.31,8,0.85,"p0=0.85"
401030917,2018,0.519,38,31,0.697,1,0.5,"p0=0.50"
401030918,2018,0.826,41,17,0.221,8,0.85,"p0=0.85"
401030919,2018,0.519,24,21,0.778,1,0.5,"p0=0.50"
401030920,2018,0.595,27,30,0.886,3,0.6,"p0=0.60"
401030921,2018,0.669,20,35,0.669,4,0.65,"p0=0.65"
401030922,2018,0.625,38,10,0.446,4,0.65,"p0=0.65"
401030923,2018,0.803,31,17,0.203,7,0.8,"p0=0.80"
401030924,2018,0.682,13,16,0.914,5,0.7,"p0=0.70"
401030925,2018,0.743,31,23,0.503,6,0.75,"p0=0.75"
401030926,2018,0.607,27,14,0.626,3,0.6,"p0=0.60"
401030927,2018,0.602,23,0,0.502,3,0.6,"p0=0.60"
401030928,2018,0.606,16,26,0.698,3,0.6,"p0=0.60"
401030929,2018,0.596,19,22,0.648,3,0.6,"p0=0.60"
401030930,2018,0.655,45,42,0.982,4,0.65,"p0=0.65"
401030931,2018,0.505,18,33,0.74,1,0.5,"p0=0.50"
401030932,2018,0.758,29,27,0.8,6,0.75,"p0=0.75"
401030933,2018,0.557,14,26,0.61,2,0.55,"p0=0.55"
401030934,2018,0.57,23,27,0.939,2,0.55,"p0=0.55"
401030935,2018,0.838,33,40,0.241,8,0.85,"p0=0.85"
401030950,2018,0.659,26,23,0.794,4,0.65,"p0=0.65"
401030951,2018,0.59,30,33,0.965,3,0.6,"p0=0.60"
401030952,2018,0.706,38,35,0.294,5,0.7,"p0=0.70"
401030953,2018,0.501,30,27,0.759,1,0.5,"p0=0.50"
401030954,2018,0.577,21,17,0.623,3,0.6,"p0=0.60"
401030955,2018,0.528,10,24,0.61,2,0.55,"p0=0.55"
401030956,2018,0.599,17,10,0.558,3,0.6,"p0=0.60"
401030957,2018,0.753,16,30,0.436,6,0.75,"p0=0.75"
401030958,2018,0.815,43,16,0.241,7,0.8,"p0=0.80"
401030959,2018,0.677,24,10,0.488,5,0.7,"p0=0.70"
401030960,2018,0.791,26,22,0.972,7,0.8,"p0=0.80"
401030961,2018,0.821,23,30,0.843,7,0.8,"p0=0.80"
401030962,2018,0.589,6,0,0.71,3,0.6,"p0=0.60"
401030963,2018,0.742,48,7,0.276,6,0.75,"p0=0.75"
401030964,2018,0.799,29,13,0.285,7,0.8,"p0=0.80"
401030965,2018,0.921,17,20,0.924,9,0.9,"p0=0.90"
401030966,2018,0.551,21,23,0.57,2,0.55,"p0=0.55"
401030967,2018,0.661,9,12,0.584,4,0.65,"p0=0.65"
401030968,2018,0.5,24,17,0.554,1,0.5,"p0=0.50"
401030969,2018,0.764,22,23,0.964,6,0.75,"p0=0.75"
401030970,2018,0.55,21,23,0.894,2,0.55,"p0=0.55"
401030971,2018,0.644,16,20,0.977,4,0.65,"p0=0.65"
401030972,2018,0.639,54,51,0.915,4,0.65,"p0=0.65"
401127859,2019,0.617,20,7,0.665,3,0.6,"p0=0.60"
401127860,2019,0.652,33,3,0.405,4,0.65,"p0=0.65"
401127861,2019,0.903,30,14,0.114,9,0.9,"p0=0.90"
401127862,2019,0.858,0,43,0.145,8,0.85,"p0=0.85"
401127863,2019,0.645,27,34,0.875,4,0.65,"p0=0.65"
401127864,2019,0.867,7,33,0.263,8,0.85,"p0=0.85"
401127865,2019,0.655,20,17,0.725,4,0.65,"p0=0.65"
401127866,2019,0.754,10,16,0.408,6,0.75,"p0=0.75"
401127867,2019,0.774,27,19,0.52,6,0.75,"p0=0.75"
401127868,2019,0.719,17,24,0.363,5,0.7,"p0=0.70"
