league,sample,weighting,bin_id,bin_lower,bin_upper,n_games,n_updates,mean_forecast,observed_rate,gap,standard_error,simultaneous_critical_value,gap_ci_lower,gap_ci_upper,observed_ci_lower,observed_ci_upper
nba,preterminal,equal_game,13,0.65,0.7000000000000001,6342,192115,0.6750632955079064,0.6439608956165248,-0.03110239989138142,0.01108407261895242,2.733077590505297,-0.061396030377773636,-8.087694049892062e-4,0.6136672651301328,0.6742545261029173
nba,preterminal,equal_game,14,0.7000000000000001,0.75,6226,188656,0.7248243444208028,0.6819787985865724,-0.042845545834231245,0.010665696520910737,2.733077590505297,-0.07199572198266269,-0.013695369685799801,0.6528286224381401,0.711128974735003
nba,preterminal,equal_game,15,0.75,0.8,6062,197146,0.7740662333911021,0.7245133619267569,-0.049552871464341626,0.010334932801556186,2.733077590505297,-0.07779904470365297,-0.02130669822503029,0.6962671886874492,0.7527595351660719
nba,preterminal,equal_game,16,0.8,0.8500000000000001,5787,201933,0.8239250237837015,0.7727665457058925,-0.05115847807780739,0.009995005111820773,2.733077590505297,-0.07847560256591063,-0.02384135358970415,0.7454494212177909,0.8000836701939973
nba,preterminal,equal_game,17,0.8500000000000001,0.9,5498,209235,0.8737917888484704,0.8197526373226628,-0.054039151525811076,0.00930848761461338,2.733077590505297,-0.07947997042680702,-0.02859833262481514,0.7943118184216634,0.8451934562236553
nba,preterminal,equal_game,18,0.9,0.95,5156,224839,0.9245684080469331,0.878200155159038,-0.04636825288789475,0.00820947887613543,2.733077590505297,-0.0688053956339871,-0.023931110141802395,0.855763012412946,0.9006372979051307
nba,preterminal,equal_game,19,0.95,1,4873,511086,0.9822697832258559,0.9378206443669198,-0.04444913885893586,0.006156179352437712,2.733077590505297,-0.06127445469021478,-0.027623823027656938,0.9209953285356411,0.9546459601981989
nba,all_updates,equal_game,0,0,0.05,3874,334703,0.01568466587285119,0.06608156943727414,0.05039690356442282,0.0068002506152813735,2.73460303180803,0.03180091761481996,0.06899288951402568,0.04748558348767115,0.08467755538687688
nba,all_updates,equal_game,1,0.05,0.1,4025,134494,0.07501516183957299,0.13391304347826086,0.058897881638687595,0.00957693914422726,2.73460303180803,0.03270875481944273,0.08508700845793246,0.10772391665901572,0.16010217029750545
nba,all_updates,equal_game,2,0.1,0.15000000000000002,4352,128001,0.12560982917743901,0.19347426470588236,0.06786443552844366,0.010565311789168105,2.73460303180803,0.03897250187778745,0.09675636917909988,0.16458233105522646,0.2223661983565389
nba,all_updates,equal_game,3,0.15000000000000002,0.2,4635,126137,0.1759327085903929,0.24314994606256743,0.06721723747217385,0.011517659917217203,2.73460303180803,0.03572100974321787,0.09871346520112984,0.21165371833361077,0.27464617379152273
nba,all_updates,equal_game,4,0.2,0.25,4941,131140,0.22559722008181893,0.29589151993523577,0.07029429985341748,0.011850328751873335,2.73460303180803,0.03788835492062279,0.10270024478621217,0.26348557500244174,0.32829746486803113
nba,all_updates,equal_game,5,0.25,0.30000000000000004,5270,139667,0.27545998416457634,0.3396584440227704,0.06419845985819363,0.012218817567481992,2.73460303180803,0.030784844293048154,0.0976120754233391,0.3062448284576245,0.37307205958791545
nba,all_updates,equal_game,6,0.30000000000000004,0.35000000000000003,5554,145987,0.32600997435455836,0.38278718041051496,0.05677720605595529,0.012196489279393843,2.73460303180803,0.023424649495110757,0.09012976261679984,0.3494346238496691,0.4161397369713582
nba,all_updates,equal_game,7,0.35000000000000003,0.4,5775,147395,0.37555171445143476,0.4176623376623377,0.04211062321090315,0.012105192061851469,2.73460303180803,0.009007728297945626,0.07521351812386068,0.38455944274938036,0.45076523257529544
nba,all_updates,equal_game,8,0.4,0.45,5991,153615,0.42507302749352194,0.4586880320480721,0.0336150045545486,0.011874824512247667,2.73460303180803,0.001142073441167818,0.06608793566792938,0.42621510093468973,0.4911609631614513
nba,all_updates,equal_game,9,0.45,0.5,6245,166609,0.4746332358480913,0.4931945556445156,0.018561319796426272,0.01189055176936212,2.73460303180803,-0.013954619121941715,0.05107725871479426,0.46067861672614957,0.5257104945628855
nba,all_updates,equal_game,10,0.5,0.55,6354,176846,0.524798299961135,0.5295876613157067,0.004789361354570737,0.011730797211586538,2.73460303180803,-0.027289712265758995,0.03686843497490047,0.49750858769537604,0.5616667349360355
nba,all_updates,equal_game,11,0.55,0.6000000000000001,6397,180718,0.5749560059690728,0.5676098171017665,-0.007346188867305542,0.011664752802306095,2.73460303180803,-0.03924465724578301,0.02455227951117192,0.5357113487232898,0.5995082854802447
nba,all_updates,equal_game,12,0.6000000000000001,0.65,6394,179757,0.6250432535087611,0.6010322177040975,-0.02401103580466262,0.011359565566802659,2.73460303180803,-0.055074938243663274,0.007052866634338031,0.5699683152650978,0.6320961201430991
nba,all_updates,equal_game,13,0.65,0.7000000000000001,6342,192115,0.6750632955079064,0.6439608956165248,-0.03110239989138142,0.01108407261895242,2.73460303180803,-0.061412938479949074,-7.91861302813765e-4,0.6136503570279573,0.6742714342050927
nba,all_updates,equal_game,14,0.7000000000000001,0.75,6226,188656,0.7248243444208028,0.6819787985865724,-0.042845545834231245,0.010665696520910737,2.73460303180803,-0.0720119918766581,-0.013679099791804386,0.6528123525441447,0.7111452446289984
nba,all_updates,equal_game,15,0.75,0.8,6062,197146,0.7740662333911021,0.7245133619267569,-0.049552871464341626,0.010334932801556186,2.73460303180803,-0.07781481003700944,-0.021290932891673824,0.6962514233540927,0.7527753004994283
nba,all_updates,equal_game,16,0.8,0.8500000000000001,5787,201933,0.8239250237837015,0.7727665457058925,-0.05115847807780739,0.009995005111820773,2.73460303180803,-0.07849084935952924,-0.02382610679608555,0.7454341744241723,0.8000989169876159
nba,all_updates,equal_game,17,0.8500000000000001,0.9,5498,209235,0.8737917888484704,0.8197526373226628,-0.054039151525811076,0.00930848761461338,2.73460303180803,-0.07949416997828032,-0.02858413307334183,0.7942976188701901,0.8452076557751286
nba,all_updates,equal_game,18,0.9,0.95,5156,224839,0.9245684080469331,0.878200155159038,-0.04636825288789475,0.00820947887613543,2.73460303180803,-0.06881791871213867,-0.023918587063650822,0.8557504893347944,0.9006498209832823
nba,all_updates,equal_game,19,0.95,1,4955,521291,0.9841253614328944,0.9388496468213925,-0.045275714611501955,0.006038162023007908,2.73460303180803,-0.061787690786167485,-0.02876373843683642,0.9223376706467269,0.955361622996058
nfl,preterminal,equal_game,0,0,0.05,836,26277,0.014533767465771423,0.045454545454545456,0.030920777988773945,0.011817766774951933,2.8332921082127864,-0.00256240735139664,0.06440396332894453,0.011971360114374783,0.07893773079471596
nfl,preterminal,equal_game,1,0.05,0.1,806,10588,0.07464076030930265,0.0880893300248139,0.013448569715511224,0.016872876662429013,2.8332921082127864,-0.0343572185749966,0.06125435800601904,0.04028354173430605,0.1358951183153217
nfl,preterminal,equal_game,2,0.1,0.15000000000000002,869,10247,0.1260028198448682,0.13118527042577677,0.005182450580908657,0.0194193828175847,2.8332921082127864,-0.049838333502517054,0.060203234664334374,0.07616448634235114,0.18620605450920258
nfl,preterminal,equal_game,3,0.15000000000000002,0.2,929,10828,0.1755869617837296,0.18406889128094725,0.008481929497217584,0.02156693607830896,2.8332921082127864,-0.05262350029178481,0.06958735928621998,0.12296346149194479,0.24517432106994957
nfl,preterminal,equal_game,4,0.2,0.25,1002,11467,0.22539995410748584,0.22355289421157684,-0.001847059895908628,0.021988972272269564,2.8332921082127864,-0.06414824150263976,0.060454121710822505,0.16125171260484608,0.28585407581830835
nfl,preterminal,equal_game,5,0.25,0.30000000000000004,1093,12297,0.27588322096822554,0.2799634034766697,0.004080182508443989,0.02231316894835394,2.8332921082127864,-0.05913954298214582,0.06729990799903379,0.2167436779860797,0.34318312896725933
nfl,preterminal,equal_game,6,0.30000000000000004,0.35000000000000003,1148,12867,0.3259756913797521,0.32752613240418116,0.0015504410244292933,0.022468559941386607,2.8332921082127864,-0.06210955254040733,0.06521043458926591,0.26386613883934473,0.391186125969018
nfl,preterminal,equal_game,7,0.35000000000000003,0.4,1218,13181,0.37615110591638073,0.3784893267651888,0.0023382208488085306,0.022912153858107326,2.8332921082127864,-0.06257860385952412,0.06725504555714117,0.3135725020568566,0.4434061514735219
nfl,preterminal,equal_game,8,0.4,0.45,1275,14252,0.42505077755787707,0.4235294117647059,-0.00152136579317136,0.022549874582509875,2.8332921082127864,-0.06541174748898469,0.062369015902641975,0.35963903006889236,0.48741979346051906
nfl,preterminal,equal_game,9,0.45,0.5,1314,15166,0.47559990962934906,0.4779299847792998,0.002330075149950968,0.023106171618021875,2.8332921082127864,-0.06313645854640068,0.06779660884630262,0.41246345108294835,0.5433965184756517
nfl,preterminal,equal_game,10,0.5,0.55,1339,16058,0.5250259460755804,0.5242718446601942,-7.541014153866258e-4,0.021997819537561403,2.8332921082127864,-0.0630803499090484,0.061572147078275144,0.46194559616653197,0.5865980931538556
nfl,preterminal,equal_game,11,0.55,0.6000000000000001,1352,16184,0.5749179858012579,0.5636094674556213,-0.011308518345636901,0.02173076906930704,2.8332921082127864,-0.07287813485509906,0.05026109816382525,0.5020398509461588,0.6251790839650831
nfl,preterminal,equal_game,12,0.6000000000000001,0.65,1343,15775,0.6249986300156558,0.6001489203276247,-0.024849709688031466,0.02170566199456635,2.8332921082127864,-0.08634819052077052,0.03664877114470759,0.5386504394948853,0.6616474011603634
nfl,preterminal,equal_game,13,0.65,0.7000000000000001,1331,16546,0.6744500186043331,0.6438767843726522,-0.030573234231680298,0.021234732480844298,2.8332921082127864,-0.09073743418966618,0.029590965726305575,0.5837125844146669,0.7040409843306387
nfl,preterminal,equal_game,14,0.7000000000000001,0.75,1269,15575,0.7246647893285016,0.7013396375098503,-0.023325151818651576,0.021027312647363797,2.8332921082127864,-0.08290167079935033,0.03625136716204719,0.6417631185291514,0.7609161564905489
nfl,preterminal,equal_game,15,0.75,0.8,1202,15634,0.7742020089958386,0.7462562396006656,-0.027945769395172664,0.020227065567319694,2.8332921082127864,-0.08525495463936214,0.02936341584901681,0.6889470543564764,0.8035654248448554
nfl,preterminal,equal_game,16,0.8,0.8500000000000001,1142,15304,0.8238475420752622,0.8029772329246935,-0.020870309150567683,0.018959378843393423,2.8332921082127864,-0.07458776760417074,0.03284714930303537,0.7492597744710915,0.8566946913782976
nfl,preterminal,equal_game,17,0.8500000000000001,0.9,1056,15560,0.8742720029946427,0.8570075757575758,-0.017264427237066955,0.01801944801299548,2.8332921082127864,-0.06831878708663763,0.033789932612503716,0.8059532159080051,0.9080619356071464
nfl,preterminal,equal_game,18,0.9,0.95,984,16100,0.9245437666684552,0.9115853658536586,-0.01295840081479726,0.014670642557196396,2.8332921082127864,-0.05452461659451246,0.02860781496491794,0.8700191500739427,0.9531515816333731
nfl,preterminal,equal_game,19,0.95,1,990,36054,0.9849240884085695,0.9525252525252526,-0.032398835883316046,0.011457576045707971,2.8332921082127864,-0.06486149567286831,6.382390623620865e-5,0.9200625927357011,0.9849879123148056
nfl,all_updates,equal_game,0,0,0.05,879,27196,0.012663115734240336,0.04323094425483504,0.030567828520594694,0.01124456192830517,2.8338874912968404,-0.0012979948731420103,0.062433651914331395,0.011365120861098326,0.07509676764857173
nfl,all_updates,equal_game,1,0.05,0.1,806,10588,0.07464076030930265,0.0880893300248139,0.013448569715511224,0.016872876662429013,2.8338874912968404,-0.03436726440034074,0.06126440383136318,0.04027349590896191,0.13590516414066584
nfl,all_updates,equal_game,2,0.1,0.15000000000000002,869,10247,0.1260028198448682,0.13118527042577677,0.005182450580908657,0.0194193828175847,2.8338874912968404,-0.04984989547454941,0.06021479663636673,0.07615292437031879,0.18621761648123492
nfl,all_updates,equal_game,3,0.15000000000000002,0.2,929,10829,0.17558626928283258,0.18406889128094725,0.008482621998114606,0.021566846914083383,2.8338874912968404,-0.05263539569842015,0.06960063969464936,0.12295087358441242,0.24518690897748194
