key,value,formatted,source,league,analysis,sample,estimand
NBACrossingNinetyFiveStrictLoss,0.0643633002079963,6.4\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal_strict,observed_loss
NBACrossingNinetyFiveStrictResidual,0.0232038363762419,2.3\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal_strict,residual
NBACrossingNinetyGames,8250,"8,250",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal,games
NBACrossingNinetyImplied,0.0878891260271071,8.8\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal,implied_loss
NBACrossingNinetyLoss,0.125066695123253,12.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal,observed_loss
NBACrossingNinetyNineCILower,0.00087151100764207,0.1\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal,ci_lower
NBACrossingNinetyNineCIUpper,0.0091925537524452,0.9\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal,ci_upper
NBACrossingNinetyNineEpisodes,7660,"7,660",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal,episodes
NBACrossingNinetyNineGames,7598,"7,598",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal,games
NBACrossingNinetyNineImplied,0.00779412532637078,0.8\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal,implied_loss
NBACrossingNinetyNineLoss,0.012532637075718,1.3\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal,observed_loss
NBACrossingNinetyNineResidual,0.00473851174934709,0.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal,residual
NBACrossingNinetyResidual,0.0371775690961472,3.7\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,first_crossing,preterminal,residual
NBADyadicCalendarGlobalD,0.0967563958679785,0.097,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,global,dyadic_calendar,D_upper
NBADyadicCalendarGlobalP,1e-04,\ensuremath{<0.001},/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,global,dyadic_calendar,p_value
NBAEligibleGames,8290,"8,290",feed_coverage_by_season.csv,nba,coverage,all,eligible_games
NBAExcludePatchedGlobalD,0.0960048426150121,0.096,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,global,exclude_patched,D_upper
NBAExcludePatchedGlobalP,1e-04,\ensuremath{<0.001},/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,global,exclude_patched,p_value
NBAExcludedExhibitionEvents,10,10,/Users/Jonathan/research/max-wp-loser/data/derived/nba/excluded_exhibition_games.csv,nba,coverage,excluded_exhibitions,events
NBAExcludedExhibitionFeeds,5,5,/Users/Jonathan/research/max-wp-loser/data/derived/nba/excluded_exhibition_games.csv,nba,coverage,excluded_exhibitions,analyzed_feeds
NBAFixedClockExcluded,11,11,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/fixed-clock-feed-summary.csv,nba,fixed_clock,linear,excluded_games
NBAFixedClockGames,8265,"8,265",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/fixed-clock-feed-summary.csv,nba,fixed_clock,linear,games
NBAFixedClockLOCFCells,195,195,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,fixed_clock_summary,locf,cells
NBAFixedClockLOCFRMS,0.0276642411897507,2.8\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,fixed_clock_summary,locf,rms_gap
NBAFixedClockLOCFSignificantCells,3,3,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,fixed_clock_summary,locf,significant_cells
NBAFixedClockLinearCells,196,196,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,fixed_clock_summary,linear,cells
NBAFixedClockLinearRMS,0.0270882907962777,2.7\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,fixed_clock_summary,linear,rms_gap
