"game_id","season","starting_wp_favored","home_final","away_final","max_wp_loser","bin_idx","bin_center","bin_label"
400975820,2018,0.865,100,96,0.794,8,0.85,"p0=0.85"
400975821,2018,0.636,128,125,0.911,4,0.65,"p0=0.65"
400975818,2018,0.736,140,79,0.286,6,0.75,"p0=0.75"
400975819,2018,0.609,98,118,0.451,3,0.6,"p0=0.60"
400975817,2018,0.608,88,74,0.567,3,0.6,"p0=0.60"
400975815,2018,0.635,102,135,0.411,4,0.65,"p0=0.65"
400975816,2018,0.6,120,127,0.648,3,0.6,"p0=0.60"
401019650,2018,0.539,96,92,0.783,2,0.55,"p0=0.55"
400975813,2018,0.506,105,111,0.992,1,0.5,"p0=0.50"
400975814,2018,0.715,119,98,0.502,5,0.7,"p0=0.70"
400975811,2018,0.601,132,129,0.938,3,0.6,"p0=0.60"
400975812,2018,0.802,119,105,0.198,7,0.8,"p0=0.80"
400975810,2018,0.6,111,115,0.787,3,0.6,"p0=0.60"
400975809,2018,0.578,88,115,0.652,3,0.6,"p0=0.60"
400975808,2018,0.86,94,99,0.921,8,0.85,"p0=0.85"
400975805,2018,0.614,100,99,0.981,3,0.6,"p0=0.60"
400975806,2018,0.67,123,109,0.553,4,0.65,"p0=0.65"
400975807,2018,0.678,115,105,0.755,5,0.7,"p0=0.70"
400975804,2018,0.738,86,93,0.871,6,0.75,"p0=0.75"
400975803,2018,0.577,90,106,0.547,3,0.6,"p0=0.60"
400975802,2018,0.558,89,75,0.748,2,0.55,"p0=0.55"
400975799,2018,0.619,118,115,0.835,3,0.6,"p0=0.60"
400975800,2018,0.596,149,141,0.842,3,0.6,"p0=0.60"
400975801,2018,0.694,110,92,0.426,5,0.7,"p0=0.70"
400975796,2018,0.628,124,117,0.497,4,0.65,"p0=0.65"
400975797,2018,0.624,110,100,0.722,3,0.6,"p0=0.60"
400975798,2018,0.737,108,94,0.66,6,0.75,"p0=0.75"
400975795,2018,0.61,109,122,0.657,3,0.6,"p0=0.60"
400975794,2018,0.596,120,129,0.484,3,0.6,"p0=0.60"
400975793,2018,0.542,108,89,0.82,2,0.55,"p0=0.55"
400975792,2018,0.741,125,132,0.87,6,0.75,"p0=0.75"
400975790,2018,0.88,109,124,0.672,9,0.9,"p0=0.90"
400975791,2018,0.714,100,87,0.337,5,0.7,"p0=0.70"
400975789,2018,0.888,103,97,0.539,9,0.9,"p0=0.90"
400975788,2018,0.571,117,101,0.706,2,0.55,"p0=0.55"
400975785,2018,0.616,109,114,0.529,3,0.6,"p0=0.60"
400975786,2018,0.577,101,94,0.591,3,0.6,"p0=0.60"
400975783,2018,0.522,114,106,0.836,1,0.5,"p0=0.50"
400975784,2018,0.519,124,101,0.658,1,0.5,"p0=0.50"
400975781,2018,0.69,109,102,0.436,5,0.7,"p0=0.70"
400975782,2018,0.663,101,107,0.452,4,0.65,"p0=0.65"
400975787,2018,0.806,122,117,0.586,7,0.8,"p0=0.80"
400975779,2018,0.948,93,98,0.975,10,0.95,"p0=0.95"
400975780,2018,0.564,91,92,0.699,2,0.55,"p0=0.55"
400975778,2018,0.727,121,113,0.561,6,0.75,"p0=0.75"
400975777,2018,0.83,122,115,0.902,8,0.85,"p0=0.85"
400975775,2018,0.673,83,92,0.383,4,0.65,"p0=0.65"
400975776,2018,0.764,120,116,0.754,6,0.75,"p0=0.75"
400975774,2018,0.684,113,105,0.454,5,0.7,"p0=0.70"
400975772,2018,0.693,120,113,0.477,5,0.7,"p0=0.70"
400975773,2018,0.893,103,81,0.257,9,0.9,"p0=0.90"
400975771,2018,0.685,98,93,0.474,5,0.7,"p0=0.70"
400975769,2018,0.841,101,96,0.788,8,0.85,"p0=0.85"
400975770,2018,0.681,110,111,0.868,5,0.7,"p0=0.70"
400975767,2018,0.573,117,129,0.498,2,0.55,"p0=0.55"
400975768,2018,0.613,110,118,0.901,3,0.6,"p0=0.60"
400975766,2018,0.633,99,106,0.818,4,0.65,"p0=0.65"
400975765,2018,0.908,117,106,0.292,9,0.9,"p0=0.90"
400975764,2018,0.649,123,119,0.964,4,0.65,"p0=0.65"
400975763,2018,0.742,124,125,0.971,6,0.75,"p0=0.75"
400975762,2018,0.557,126,117,0.673,2,0.55,"p0=0.55"
400975761,2018,0.528,112,103,0.929,2,0.55,"p0=0.55"
400975760,2018,0.654,107,129,0.365,4,0.65,"p0=0.65"
400975759,2018,0.695,110,79,0.305,5,0.7,"p0=0.70"
400975758,2018,0.76,108,72,0.273,6,0.75,"p0=0.75"
400975756,2018,0.683,106,112,0.645,5,0.7,"p0=0.70"
400975757,2018,0.633,119,115,0.817,4,0.65,"p0=0.65"
400975753,2018,0.654,107,119,0.825,4,0.65,"p0=0.65"
400975754,2018,0.773,102,116,0.882,6,0.75,"p0=0.75"
400975755,2018,0.559,97,110,0.784,2,0.55,"p0=0.55"
400975751,2018,0.676,98,101,0.777,5,0.7,"p0=0.70"
400975752,2018,0.594,111,116,0.917,3,0.6,"p0=0.60"
400975750,2018,0.671,115,99,0.395,4,0.65,"p0=0.65"
400975747,2018,0.739,109,93,0.288,6,0.75,"p0=0.75"
400975748,2018,0.56,103,121,0.635,2,0.55,"p0=0.55"
400975749,2018,0.899,106,101,0.469,9,0.9,"p0=0.90"
400975746,2018,0.512,127,113,0.513,1,0.5,"p0=0.50"
400975744,2018,0.774,97,99,0.937,6,0.75,"p0=0.75"
400975745,2018,0.606,97,120,0.449,3,0.6,"p0=0.60"
400975743,2018,0.763,82,105,0.567,6,0.75,"p0=0.75"
400975742,2018,0.833,130,104,0.192,8,0.85,"p0=0.85"
400975741,2018,0.552,99,116,0.83,2,0.55,"p0=0.55"
400975739,2018,0.644,122,129,0.919,4,0.65,"p0=0.65"
400975740,2018,0.565,109,103,0.87,2,0.55,"p0=0.55"
400975738,2018,0.73,106,132,0.377,6,0.75,"p0=0.75"
400975737,2018,0.775,113,105,0.77,7,0.8,"p0=0.80"
400975735,2018,0.743,114,80,0.307,6,0.75,"p0=0.75"
